   I,'NAME        ', BASKV, IDE,AREA,ZONE,OWNER, VM,        VA,    NVHI,   NVLO,   EVHI,   EVLO
 1001,'ODESSA 2 0  ', 115.0000,1,   1,   9,   1,0.94749016,   8.922119, 1.10000, 0.90000, 1.10000, 0.90000
 1002,'PRESIDIO 2 0', 115.0000,1,   1,   9,   1,1.02569687,  36.658418, 1.10000, 0.90000, 1.10000, 0.90000
 1003,'O DONNELL ~1', 115.0000,1,   1,   9,   1,0.99100697,  16.210199, 1.10000, 0.90000, 1.10000, 0.90000
 1004,'O DONNELL ~2', 230.0000,2,   1,   9,   1,0.98444337,   7.469787, 1.10000, 0.90000, 1.10000, 0.90000
 1005,'BIG SPRING~8', 115.0000,1,   1,   9,   1,0.99423391,  20.747185, 1.10000, 0.90000, 1.10000, 0.90000
 1006,'BIG SPRING~9',  13.8000,2,   1,   9,   1,1.00000000,  21.825414, 1.10000, 0.90000, 1.10000, 0.90000
 1007,'VAN HORN 0  ', 115.0000,2,   1,   9,   1,1.02982950,  42.357271, 1.10000, 0.90000, 1.10000, 0.90000
 1008,'IRAAN 2 0   ', 115.0000,1,   1,   9,   1,0.98685777,  25.631970, 1.10000, 0.90000, 1.10000, 0.90000
 1009,'IRAAN 2 1   ',  13.8000,2,   1,   9,   1,1.00000000,  29.002424, 1.10000, 0.90000, 1.10000, 0.90000
 1010,'PRESIDIO 1 0', 115.0000,1,   1,   9,   1,1.02999997,  36.413941, 1.10000, 0.90000, 1.10000, 0.90000
 1011,'PRESIDIO 1 1',  22.0000,2,   1,   9,   1,1.03021777,  38.166902, 1.10000, 0.90000, 1.10000, 0.90000
 1012,'SANDERSON 0 ', 115.0000,1,   1,   9,   1,0.96760160,  10.399152, 1.10000, 0.90000, 1.10000, 0.90000
 1013,'MONAHANS 2 0', 115.0000,1,   1,   9,   1,0.98913366,  26.332917, 1.10000, 0.90000, 1.10000, 0.90000
 1014,'GRANDFALLS 0', 115.0000,1,   1,   9,   1,0.99131846,  26.786241, 1.10000, 0.90000, 1.10000, 0.90000
 1015,'MARFA 0     ', 115.0000,1,   1,   9,   1,1.02994955,  38.081211, 1.10000, 0.90000, 1.10000, 0.90000
 1016,'GARDEN CIT~1', 115.0000,2,   1,   9,   1,1.00000000,  26.838904, 1.10000, 0.90000, 1.10000, 0.90000
 1017,'ODESSA 4 0  ', 115.0000,1,   1,   9,   1,0.96364284,  15.587885, 1.10000, 0.90000, 1.10000, 0.90000
 1018,'NOTREES 0   ', 115.0000,1,   1,   9,   1,0.97813153,  17.252802, 1.10000, 0.90000, 1.10000, 0.90000
 1019,'MIDLAND 4 0 ', 115.0000,1,   1,   9,   1,0.96568561,  11.485848, 1.10000, 0.90000, 1.10000, 0.90000
 1020,'BIG SPRING~1', 115.0000,1,   1,   9,   1,0.98388523,  15.365043, 1.10000, 0.90000, 1.10000, 0.90000
 1021,'BIG SPRING~2',  13.8000,2,   1,   9,   1,1.00000000,  18.733047, 1.10000, 0.90000, 1.10000, 0.90000
 1022,'O DONNELL ~3', 115.0000,2,   1,   9,   1,0.99751431,  17.367767, 1.10000, 0.90000, 1.10000, 0.90000
 1023,'O DONNELL ~4',  13.8000,2,   1,   9,   1,1.00999999,  25.855620, 1.10000, 0.90000, 1.10000, 0.90000
 1024,'ODESSA 6 0  ', 115.0000,1,   1,   9,   1,0.98432052,  18.652745, 1.10000, 0.90000, 1.10000, 0.90000
 1025,'BIG SPRIN~14', 115.0000,1,   1,   9,   1,0.98701870,  16.999414, 1.10000, 0.90000, 1.10000, 0.90000
 1026,'BIG SPRIN~15',  13.8000,2,   1,   9,   1,1.00000000,  26.773145, 1.10000, 0.90000, 1.10000, 0.90000
 1027,'MIDLAND 2 0 ', 115.0000,2,   1,   9,   1,0.99155515,  11.697822, 1.10000, 0.90000, 1.10000, 0.90000
 1028,'COAHOMA 0   ', 115.0000,2,   1,   9,   1,1.00000000,  12.741318, 1.10000, 0.90000, 1.10000, 0.90000
 1029,'MIDLAND 3 0 ', 115.0000,2,   1,   9,   1,1.00000000,  13.648402, 1.10000, 0.90000, 1.10000, 0.90000
 1030,'ALPINE 0    ', 115.0000,2,   1,   9,   1,1.00646782,  31.976422, 1.10000, 0.90000, 1.10000, 0.90000
 1031,'FORT DAVIS 0', 115.0000,1,   1,   9,   1,1.00208235,  34.099883, 1.10000, 0.90000, 1.10000, 0.90000
 1032,'MCCAMEY 1 0 ', 115.0000,2,   1,   9,   1,0.96119076,  23.769395, 1.10000, 0.90000, 1.10000, 0.90000
 1033,'MCCAMEY 1 1 ', 230.0000,2,   1,   9,   1,0.96281767,  20.009895, 1.10000, 0.90000, 1.10000, 0.90000
 1034,'BIG SPRING~6', 115.0000,1,   1,   9,   1,0.99822479,  23.392824, 1.10000, 0.90000, 1.10000, 0.90000
 1035,'BIG SPRING~7',  13.8000,2,   1,   9,   1,1.00000000,  26.684899, 1.10000, 0.90000, 1.10000, 0.90000
 1036,'CRANE 0     ', 115.0000,2,   1,   9,   1,0.97596604,  27.708052, 1.10000, 0.90000, 1.10000, 0.90000
 1037,'ODESSA 5 0  ', 115.0000,2,   1,   9,   1,0.95568144,  13.353171, 1.10000, 0.90000, 1.10000, 0.90000
 1038,'FORT STOCK~1', 115.0000,1,   1,   9,   1,0.99127007,  28.962598, 1.10000, 0.90000, 1.10000, 0.90000
 1039,'FORT STOCK~2',  22.0000,2,   1,   9,   1,1.00000000,  34.449517, 1.10000, 0.90000, 1.10000, 0.90000
 1040,'ANDREWS 0   ', 115.0000,2,   1,   9,   1,1.00000000,  20.308630, 1.10000, 0.90000, 1.10000, 0.90000
 1041,'FORSAN 0    ', 115.0000,1,   1,   9,   1,1.00060165,  22.536564, 1.10000, 0.90000, 1.10000, 0.90000
 1042,'FORSAN 1    ',  13.8000,1,   1,   9,   1,1.00060165,  22.536564, 1.10000, 0.90000, 1.10000, 0.90000
 1043,'FORSAN 2    ',  13.8000,2,   1,   9,   1,1.00000000,  25.782125, 1.10000, 0.90000, 1.10000, 0.90000
 1044,'BIG LAKE 0  ', 115.0000,2,   1,   9,   1,1.00000000,   8.180540, 1.10000, 0.90000, 1.10000, 0.90000
 1045,'MIDLAND 5 0 ', 115.0000,1,   1,   9,   1,0.94958848,   9.641848, 1.10000, 0.90000, 1.10000, 0.90000
 1046,'OZONA 0     ', 115.0000,2,   1,   9,   1,1.00000000,  20.585188, 1.10000, 0.90000, 1.10000, 0.90000
 1047,'MONAHANS 1 0', 115.0000,1,   1,   9,   1,0.98643404,  22.578590, 1.10000, 0.90000, 1.10000, 0.90000
 1048,'MONAHANS 1 1',  18.0000,1,   1,   9,   1,0.98643404,  22.578590, 1.10000, 0.90000, 1.10000, 0.90000
 1049,'MONAHANS 1 2',  18.0000,1,   1,   9,   1,0.98643404,  22.578590, 1.10000, 0.90000, 1.10000, 0.90000
 1050,'MONAHANS 1 3',  18.0000,2,   1,   9,   1,1.00000000,  25.136418, 1.10000, 0.90000, 1.10000, 0.90000
 1051,'MONAHANS 1 4',  18.0000,2,   1,   9,   1,1.00000000,  25.879329, 1.10000, 0.90000, 1.10000, 0.90000
 1052,'MONAHANS 1 5',  18.0000,2,   1,   9,   1,1.00000000,  24.691066, 1.10000, 0.90000, 1.10000, 0.90000
 1053,'MONAHANS 1 6', 230.0000,1,   1,   9,   1,0.97186738,  17.865895, 1.10000, 0.90000, 1.10000, 0.90000
 1054,'STANTON 0   ', 115.0000,1,   1,   9,   1,1.00038993,  16.220463, 1.10000, 0.90000, 1.10000, 0.90000
 1055,'ODONNELL 0  ', 115.0000,2,   1,   9,   1,1.00000000,  17.175716, 1.10000, 0.90000, 1.10000, 0.90000
 1056,'LENORAH 0   ', 115.0000,1,   1,   9,   1,1.01321077,  15.521987, 1.10000, 0.90000, 1.10000, 0.90000
 1057,'LENORAH 1   ',  18.0000,1,   1,   9,   1,1.01321077,  15.521987, 1.10000, 0.90000, 1.10000, 0.90000
 1058,'IRAAN 3 0   ', 115.0000,1,   1,   9,   1,0.99475718,  23.480597, 1.10000, 0.90000, 1.10000, 0.90000
 1059,'IRAAN 3 1   ',  22.0000,1,   1,   9,   1,0.99475718,  23.480597, 1.10000, 0.90000, 1.10000, 0.90000
 1060,'IRAAN 3 2   ',  22.0000,1,   1,   9,   1,0.99475718,  23.480597, 1.10000, 0.90000, 1.10000, 0.90000
 1061,'BIG SPRIN~10', 115.0000,2,   1,   9,   1,1.00000000,  19.478427, 1.10000, 0.90000, 1.10000, 0.90000
 1062,'BIG SPRIN~11',  13.8000,2,   1,   9,   1,1.00999999,  21.820274, 1.10000, 0.90000, 1.10000, 0.90000
 1063,'BIG SPRIN~12',  13.8000,2,   1,   9,   1,1.00999999,  22.553544, 1.10000, 0.90000, 1.10000, 0.90000
 1064,'ODESSA 3 0  ', 115.0000,1,   1,   9,   1,0.94046926,   7.929924, 1.10000, 0.90000, 1.10000, 0.90000
 1065,'BIG SPRING~4', 115.0000,1,   1,   9,   1,1.00247180,  22.673655, 1.10000, 0.90000, 1.10000, 0.90000
 1066,'BIG SPRING~5',  13.8000,2,   1,   9,   1,1.00000000,  30.216432, 1.10000, 0.90000, 1.10000, 0.90000
 1067,'BIG SPRIN~13', 115.0000,1,   1,   9,   1,0.99776947,  21.991467, 1.10000, 0.90000, 1.10000, 0.90000
 1068,'MIDLAND 1 0 ', 115.0000,1,   1,   9,   1,0.97037089,  23.928458, 1.10000, 0.90000, 1.10000, 0.90000
 1069,'IRAAN 1 0   ', 115.0000,1,   1,   9,   1,0.99706095,  26.277006, 1.10000, 0.90000, 1.10000, 0.90000
 1070,'IRAAN 1 1   ',  13.8000,2,   1,   9,   1,1.02067029,  30.969331, 1.10000, 0.90000, 1.10000, 0.90000
 1071,'ODESSA 1 0  ', 115.0000,1,   1,   9,   1,0.95470923,   9.921351, 1.10000, 0.90000, 1.10000, 0.90000
 1072,'ODESSA 1 1  ',  18.0000,2,   1,   9,   1,0.99835128,  14.709412, 1.10000, 0.90000, 1.10000, 0.90000
 1073,'ODESSA 1 2  ',  18.0000,2,   1,   9,   1,1.00999999,  17.958184, 1.10000, 0.90000, 1.10000, 0.90000
 1074,'ODESSA 1 3  ',  18.0000,2,   1,   9,   1,1.00999999,  16.889275, 1.10000, 0.90000, 1.10000, 0.90000
 1075,'ODESSA 1 4  ',  18.0000,2,   1,   9,   1,1.00230098,  15.554222, 1.10000, 0.90000, 1.10000, 0.90000
 1076,'ODESSA 1 5  ',  18.0000,1,   1,   9,   1,0.95470923,   9.921351, 1.10000, 0.90000, 1.10000, 0.90000
 1077,'ODESSA 1 6  ',  18.0000,1,   1,   9,   1,0.95470923,   9.921351, 1.10000, 0.90000, 1.10000, 0.90000
 1078,'ODESSA 1 7  ',  18.0000,2,   1,   9,   1,0.99943137,  15.324366, 1.10000, 0.90000, 1.10000, 0.90000
 1079,'ODESSA 1 8  ', 500.0000,2,   1,   9,   1,0.96210873, -13.563236, 1.10000, 0.90000, 1.10000, 0.90000
 1080,'ODESSA 1 9  ',  18.0000,2,   1,   9,   1,1.00477087,  15.518605, 1.10000, 0.90000, 1.10000, 0.90000
 1081,'ODESSA 1 10 ', 230.0000,1,   1,   9,   1,0.96080673,  14.604495, 1.10000, 0.90000, 1.10000, 0.90000
 1082,'FORT STOCK~3', 115.0000,2,   1,   9,   1,1.00000000,  29.160209, 1.10000, 0.90000, 1.10000, 0.90000
 1083,'FORT STOCK~4', 115.0000,2,   1,   9,   1,1.00000000,  32.116741, 1.10000, 0.90000, 1.10000, 0.90000
 1084,'BIG SPRING~3', 115.0000,2,   1,   9,   1,0.98944968,  14.885200, 1.10000, 0.90000, 1.10000, 0.90000
 1085,'KERMIT 0    ', 115.0000,2,   1,   9,   1,1.00000000,  25.763706, 1.10000, 0.90000, 1.10000, 0.90000
 1086,'PECOS 0     ', 115.0000,2,   1,   9,   1,1.01154387,  25.332386, 1.10000, 0.90000, 1.10000, 0.90000
 1087,'SHEFFIELD 0 ', 115.0000,1,   1,   9,   1,0.99884903,  18.091564, 1.10000, 0.90000, 1.10000, 0.90000
 1088,'MCCAMEY 2 0 ', 115.0000,2,   1,   9,   1,0.99201864,  28.351065, 1.10000, 0.90000, 1.10000, 0.90000
 1089,'LAMESA 0    ', 115.0000,2,   1,   9,   1,1.00000000,  20.419180, 1.10000, 0.90000, 1.10000, 0.90000
