I,'ID',STAT,AREA,ZONE,      PL,        QL,        IP,        IQ,        YP,        YQ, OWNER,SCALE,INTRPT,  DGENP,     DGENQ, DGENM
 1001,'1 ',1,   1,   9,    27.119,     5.888,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1002,'1 ',1,   1,   9,    20.115,     4.367,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1007,'1 ',1,   1,   9,     9.145,     1.986,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1012,'1 ',1,   1,   9,     3.895,     0.846,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1013,'1 ',1,   1,   9,     0.666,     0.144,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1013,'2 ',1,   1,   9,     1.981,     0.430,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1013,'3 ',1,   1,   9,    35.493,     7.706,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1014,'1 ',1,   1,   9,     2.897,     0.629,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1015,'1 ',1,   1,   9,     9.799,     2.128,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1016,'1 ',1,   1,   9,     3.770,     0.819,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1017,'1 ',1,   1,   9,    23.940,     5.198,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1018,'1 ',1,   1,   9,     0.090,     0.020,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1019,'1 ',1,   1,   9,    80.618,    17.503,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1024,'1 ',1,   1,   9,    82.266,    17.861,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1027,'1 ',1,   1,   9,     0.787,     0.171,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1027,'2 ',1,   1,   9,   131.293,    28.506,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1028,'1 ',1,   1,   9,     1.860,     0.404,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1028,'2 ',1,   1,   9,     0.983,     0.213,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1028,'3 ',1,   1,   9,     6.393,     1.388,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1028,'4 ',1,   1,   9,     3.833,     0.832,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1029,'1 ',1,   1,   9,   108.555,    23.569,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1030,'1 ',1,   1,   9,    30.075,     6.530,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1030,'2 ',1,   1,   9,     2.063,     0.448,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1031,'1 ',1,   1,   9,    12.066,     2.620,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1036,'1 ',1,   1,   9,     1.327,     0.288,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1036,'2 ',1,   1,   9,    16.416,     3.564,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1037,'1 ',1,   1,   9,   133.419,    28.967,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1040,'1 ',1,   1,   9,    57.887,    12.568,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1044,'1 ',1,   1,   9,     5.888,     1.278,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1044,'2 ',1,   1,   9,    13.272,     2.881,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1045,'1 ',1,   1,   9,   128.623,    27.926,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1046,'1 ',1,   1,   9,     0.008,     0.002,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1046,'2 ',1,   1,   9,    14.458,     3.139,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1054,'1 ',1,   1,   9,     2.318,     0.503,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1054,'2 ',1,   1,   9,     0.677,     0.147,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1054,'3 ',1,   1,   9,    16.564,     3.596,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1055,'1 ',1,   1,   9,     5.191,     1.127,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1058,'1 ',1,   1,   9,     5.332,     1.158,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1058,'2 ',1,   1,   9,    12.227,     2.655,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1064,'1 ',1,   1,   9,     8.601,     1.867,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1064,'2 ',1,   1,   9,   152.904,    33.198,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1067,'1 ',1,   1,   9,   132.523,    28.773,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1068,'1 ',1,   1,   9,     0.900,     0.195,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1068,'2 ',1,   1,   9,    76.620,    16.635,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1071,'1 ',1,   1,   9,   119.361,    25.915,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1083,'1 ',1,   1,   9,    52.128,    11.318,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
