Source,Target,Type,Id,Label,Weight
1,2,Directed,0,,7
1,3,Directed,1,,1
1,4,Directed,2,,4
1,5,Directed,3,,1
1,6,Directed,4,,1
1,7,Directed,5,,1
1,8,Directed,6,,5
1,9,Directed,7,,6
1,11,Directed,8,,1
1,12,Directed,9,,1
1,13,Directed,10,,1
1,14,Directed,11,,4
1,18,Directed,12,,1
1,20,Directed,13,,1
1,22,Directed,14,,1
1,32,Directed,15,,1
2,1,Directed,16,,4
2,3,Directed,17,,4
2,4,Directed,18,,1
2,8,Directed,19,,4
2,14,Directed,20,,4
2,18,Directed,21,,1
2,20,Directed,22,,1
2,22,Directed,23,,1
2,31,Directed,24,,1
3,1,Directed,25,,4
3,2,Directed,26,,1
3,4,Directed,27,,1
3,8,Directed,28,,1
3,9,Directed,29,,1
3,10,Directed,30,,1
3,14,Directed,31,,1
3,28,Directed,32,,1
3,29,Directed,33,,1
3,33,Directed,34,,1
4,1,Directed,35,,4
4,2,Directed,36,,1
4,3,Directed,37,,1
4,8,Directed,38,,1
4,13,Directed,39,,1
4,14,Directed,40,,1
5,1,Directed,41,,4
5,7,Directed,42,,1
5,11,Directed,43,,1
6,1,Directed,44,,3
6,7,Directed,45,,1
6,11,Directed,46,,1
6,17,Directed,47,,1
7,1,Directed,48,,3
7,5,Directed,49,,1
7,6,Directed,50,,1
7,17,Directed,51,,1
8,1,Directed,52,,1
8,2,Directed,53,,1
8,3,Directed,54,,2
8,4,Directed,55,,1
9,1,Directed,56,,3
9,3,Directed,57,,1
9,31,Directed,58,,1
9,33,Directed,59,,1
9,34,Directed,60,,1
10,3,Directed,61,,1
10,34,Directed,62,,1
11,1,Directed,63,,2
11,5,Directed,64,,1
11,6,Directed,65,,1
12,1,Directed,66,,4
13,1,Directed,67,,1
13,4,Directed,68,,1
14,1,Directed,69,,1
14,2,Directed,70,,1
14,3,Directed,71,,1
14,4,Directed,72,,1
14,34,Directed,73,,5
15,33,Directed,74,,1
15,34,Directed,75,,1
16,33,Directed,76,,1
16,34,Directed,77,,1
17,6,Directed,78,,1
17,7,Directed,79,,1
18,1,Directed,80,,3
18,2,Directed,81,,3
19,33,Directed,82,,4
19,34,Directed,83,,2
20,1,Directed,84,,3
20,2,Directed,85,,3
20,34,Directed,86,,1
21,33,Directed,87,,3
21,34,Directed,88,,4
22,1,Directed,89,,1
22,2,Directed,90,,1
23,33,Directed,91,,1
23,34,Directed,92,,1
24,26,Directed,93,,1
24,28,Directed,94,,1
24,30,Directed,95,,1
24,33,Directed,96,,1
24,34,Directed,97,,1
25,26,Directed,98,,1
25,28,Directed,99,,1
25,32,Directed,100,,1
26,24,Directed,101,,5
26,25,Directed,102,,4
26,32,Directed,103,,1
27,30,Directed,104,,1
27,34,Directed,105,,3
28,3,Directed,106,,1
28,24,Directed,107,,4
28,25,Directed,108,,1
28,34,Directed,109,,3
29,3,Directed,110,,1
29,32,Directed,111,,1
29,34,Directed,112,,4
30,24,Directed,113,,1
30,27,Directed,114,,1
30,33,Directed,115,,5
30,34,Directed,116,,5
31,2,Directed,117,,1
31,9,Directed,118,,4
31,33,Directed,119,,1
31,34,Directed,120,,6
32,1,Directed,121,,1
32,25,Directed,122,,1
32,26,Directed,123,,1
32,29,Directed,124,,3
32,33,Directed,125,,6
32,34,Directed,126,,1
33,3,Directed,127,,1
33,9,Directed,128,,1
33,15,Directed,129,,1
33,16,Directed,130,,1
33,19,Directed,131,,1
33,21,Directed,132,,1
33,23,Directed,133,,1
33,24,Directed,134,,1
33,30,Directed,135,,1
33,31,Directed,136,,1
33,32,Directed,137,,1
33,34,Directed,138,,1
34,9,Directed,139,,1
34,10,Directed,140,,1
34,14,Directed,141,,1
34,15,Directed,142,,1
34,16,Directed,143,,1
34,19,Directed,144,,1
34,20,Directed,145,,1
34,21,Directed,146,,1
34,23,Directed,147,,1
34,24,Directed,148,,1
34,27,Directed,149,,1
34,28,Directed,150,,1
34,29,Directed,151,,1
34,30,Directed,152,,1
34,31,Directed,153,,1
34,32,Directed,154,,1
34,33,Directed,155,,1
35,2,Directed,156,,4
35,3,Directed,157,,5
