YDR143C, 10,14,16,34
YER068W, 01,11,34,41
YMR207C, 01
YNR016C, 01,14,20,42
YGR192C, 01,02
YKL060C, 01,02
YLL039C, 12,14,16,32,43
YOR042W, 43
YDR099W, 02,10,16,30,40,43
YLR138W, 20,34
YDR425W, 14,20
YGL093W, 42
YBR059C, 01,14,20,42
YCL032W, 18,30,32,34,40,42,43
YEL036C, 01,14
YGR056W, 10
YOR319W, 11,16
YLR448W, 12,16
YNL096C, 12
YIL135C, 10
YMR139W, 01,10,11,14,18,32,43
YHR135C, 01,10,14,20,32,34,40,43
YNL199C, 01,02,11
YJL092W, 10
YOR281C, 11,18,34
YGL173C, 01,10,11,43
YKL139W, 01,11,14
YER125W, 10,14,16,32,43
YBR283C, 14,20
YLL013C, 01,11,16
YGR059W, 34,40,41,42,43
YHR027C, 14,30
YEL002C, 01,10,14
YKL008C, 01,40
YGL043W, 10,11
YNL306W, 12,42
YOR158W, 12,42
YJL019W, 10,41,42
YOL104C, 10,16
YML010W, 10,11
YNL248C, 11,16
YDL014W, 11,12
YJL010C, 11,16
YDL226C, 10,16,18,20
YPR183W, 01,14
YLR321C, 10,11,16,42
YDL055C, 01,14,42
YGL195W, 12
YNL175C, 11,16
YPL198W, 12
YHL047C, 01,20,32,34
YHR079C, 01,11,14,30,32
YHR211W, 11,16,34
YNL255C, 11,12,30
YDR212W, 14,16,32,42
YLL019C, 01,14,30
YDR320C-A, 10,16
YPR046W, 10,16
YMR240C, 11,14,16
YOR308C, 11
YBR119W, 11,16
YER165W, 11,12,16,20
YGL103W, 12,16
YKL172W, 11
YBR245C, 01,10,11,16
YPR110C, 11,16
YJL125C, 11,12,14
YNL062C, 11,12
YHR032W, 20,32
YMR080C, 01,10,11,12,16
YDL060W, 11,12,16
YNL207W, 01,11,14,20
YHR203C, 12
YNL132W, 30
YHR037W, 01
YPL240C, 01,02,10,14,16,32,34,43
YDR477W, 01,14,16,18,30,32,34,40,43
YOR027W, 14,16,18,32,40
