	dailykosc	atriosblo	wonkettec	talkleftc	juancolec	powerlineb	realclearp	blogsforbu	instapundi	michellema
dailykosc	0.2341795408976946	0.021107354895537937	0.029042760649737872	0.02395073500663805	0.040308204177089337	0.008412596845171344	0.009008550663424398	0.006465716952401545	0.009721192506787098	0.01662815478568282
atriosblo	0.028668188058798116	0.22077977944424465	0.027003067758368672	0.024033433538137666	0.03616443853279143	0.006910284184857008	0.00798838215322837	0.005093526236059013	0.009197119621868454	0.01513345218959188
wonkettec	0.0035674017033136734	0.004240896397260444	0.22881642181395895	0.012474962135962364	0.003108260062149094	0.0024767372437955594	0.0021753512607912066	0.0017864089884296686	0.004975113358510381	0.002451008736979067
talkleftc	0.011436156620449672	0.01038005914051128	0.005767632686848589	0.21214437470985642	0.006137272281611973	0.0023158366175612256	0.0025504634597019187	0.0019072139093887891	0.0055446808566759365	0.003786424545674442
juancolec	0.015589241089269635	0.014616360527937123	0.009018109597742371	0.009504680930049789	0.2309198682947961	0.003017084597849973	0.00318166727596434	0.002406470291608651	0.004963901936127231	0.004203218092155135
powerlineb	0.003849800641127785	0.004290481959857603	0.005308086740424435	0.006113531712146798	0.004748206253724342	0.2231244924800027	0.05243808231174733	0.010381369810419523	0.012201056653094407	0.016701916657757943
realclearp	0.002158712794434965	0.0020109668948540653	0.002451388903761975	0.0029944883435723464	0.0020074907479148006	0.017452081996688202	0.20048385942849717	0.005405477847261517	0.006538458716830703	0.005297111593808205
blogsforbu	0.0021455653247532047	0.0022783699787968332	0.003469027817167965	0.0041659767272814304	0.009622369969096638	0.012427861565448539	0.009694287514887497	0.24564778539631682	0.007827898283261856	0.00985858661487468
instapundi	0.007131778025714014	0.007568693792985193	0.021349100843199718	0.019617771257231464	0.009626095339854791	0.028454650832004973	0.021808471625629353	0.013682149238741741	0.22394313256764548	0.0220205068300744
michellema	0.004151897632449576	0.00442911364386152	0.019245712360492065	0.007294425690316114	0.013655890762992805	0.030953328071377628	0.062069925354431336	0.013234534069693443	0.014340129065890545	0.20953587053319134
